Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,row_index,anomaly,score,Source Port_diff,Destination Port_diff,NAT Source Port_diff,NAT Destination Port_diff,Bytes_diff,Bytes Sent_diff,Bytes Received_diff,Packets_diff,Elapsed Time (sec)_diff,pkts_sent_diff,pkts_received_diff,anomaly_type,anomaly_label
6881,50321,43265,50321,238,118,120,2,1199,1,1,2,1,0.1339577042258882,42510.96934322163,39743.61418848806,23982.02723860099,47649.95007019471,96885.95008545443,22267.79690838064,74618.1531770738,100.86603491424037,1133.1664225111397,40.39953000061039,60.46650491362998,2,Long Duration
60513,47094,45469,47094,320,140,180,6,7,3,3,6,1,0.06658337969260614,11121.03065677837,36516.61418848806,26186.02723860099,44422.95007019471,96803.95008545443,22245.79690838064,74558.1531770738,96.86603491424037,58.8335774888604,38.39953000061039,58.46650491362998,2,Long Duration
52244,58774,2211,58774,70,70,0,1,5,1,0,8,1,0.03554550677634832,2852.03065677837,48196.61418848806,17071.97276139901,56102.95007019471,97053.95008545443,22315.79690838064,74738.1531770738,101.86603491424037,60.8335774888604,40.39953000061039,61.46650491362998,2,Long Duration
57886,443,10717,443,33667,25477,8190,60,33,34,26,29,1,0.049302341020126594,8494.03065677837,10134.385811511933,8565.97276139901,2228.049929805286,63456.95008545443,3091.2030916193617,66548.1531770738,42.86603491424037,32.8335774888604,7.39953000061039,35.46650491362998,0,High Byte Transfer
34529,443,30445,443,62652,30891,31761,158,381,67,91,34,1,0.13236880181572835,14862.96934322163,10134.385811511933,11162.02723860099,2228.049929805286,34471.95008545443,8505.203091619362,42977.15317707379,55.13396508575963,315.1664225111396,25.60046999938961,29.533495086370017,0,High Byte Transfer
59347,80,59347,80,108790,4633,104157,192,15,66,126,37,1,0.11738058793236555,9955.03065677837,10497.385811511933,40064.02723860099,2591.049929805286,11666.049914545569,17752.79690838064,29418.846822926207,89.13396508575963,50.8335774888604,24.60046999938961,64.53349508637001,0,High Byte Transfer
63842,45682,31353,45682,4687209,3850148,837061,4974,107,3004,1970,50,1,0.31913644636446975,14450.03065677837,35104.61418848806,12070.02723860099,43010.95007019471,4590085.049914545,3827762.2030916195,762322.8468229262,4871.13396508576,41.1664225111396,2962.6004699993896,1908.53349508637,2,Long Duration
60339,80,1887,80,35136,7862,27274,53,124,26,27,58,1,0.04348288124455241,10947.03065677837,10497.385811511933,17395.97276139901,2591.049929805286,61987.95008545443,14523.796908380638,47464.15317707379,49.86603491424037,58.1664225111396,15.39953000061039,34.46650491362998,0,High Byte Transfer
60811,40010,33835,40010,316,136,180,6,5,3,3,62,1,0.018577971765546153,11419.03065677837,29432.614188488067,14552.02723860099,37338.95007019471,96807.95008545443,22249.79690838064,74558.1531770738,96.86603491424037,60.8335774888604,38.39953000061039,58.46650491362998,2,Long Duration
52103,80,61932,80,68083,5515,62568,90,38,40,50,63,1,0.06541931827362607,2711.03065677837,10497.385811511933,42649.02723860099,2591.049929805286,29040.95008545443,16870.79690838064,12170.153177073793,12.866034914240373,27.8335774888604,1.3995300006103903,11.466504913629983,0,High Byte Transfer
50685,80,6959,80,63891,26626,37265,86,34,39,47,72,1,0.09693510069609629,1293.03065677837,10497.385811511933,12323.97276139901,2591.049929805286,33232.95008545443,4240.203091619362,37473.15317707379,16.866034914240373,31.8335774888604,2.3995300006103903,14.466504913629983,0,High Byte Transfer
53178,42671,48767,42671,70,70,0,2,8,2,0,85,1,0.0030203978929326802,3786.03065677837,32093.614188488067,29484.02723860099,39999.95007019471,97053.95008545443,22315.79690838064,74738.1531770738,100.86603491424037,57.8335774888604,39.39953000061039,61.46650491362998,2,Long Duration
46265,443,19534,443,173828,9311,164517,245,448,118,127,88,1,0.1567269716859963,3126.96934322163,10134.385811511933,251.02723860098922,2228.049929805286,76704.04991454557,13074.796908380638,89778.8468229262,142.13396508575963,382.1664225111396,76.60046999938962,65.53349508637001,0,High Byte Transfer
52715,443,38027,443,164840,5975,158865,179,122,61,118,93,1,0.10135648874930131,3323.03065677837,10134.385811511933,18744.02723860099,2228.049929805286,67716.04991454557,16410.79690838064,84126.8468229262,76.13396508575963,56.1664225111396,19.60046999938961,56.53349508637002,0,High Byte Transfer
